Bandwidth,Signal,RTT,Lost_Rate,Throughput1,Framerate
6944715,-74.71,65,4.6075,298.15,29.9272
9703169,-75.07,37,0.7339,561.22,29.9505
9462191,-72.46,33,1.2774,1100,29.9681
9746437,-74.7,88,1.4898,545.18,29.9691
7189860,-75.04,94,2.2222,545.18,29.9686
10895310,-73.89,61,2.4575,561.22,29.9364
2800249,-73.47,74,13.2997,615.53,29.9279
7155474,-75.26,115,1.6771,681.48,29.8397
3066451,-75.4,252,5.3985,465.4,25.5603
10242064,-73.56,99,2.6871,502.14,29.7193
43519238,-60.22,8,3.3435,1330,29.5985
40388895,-59.29,9,3.827,867.34,29.9672
45041391,-55.75,9,3.252,867.34,29.9536
4755404,-78.83,143,7.2805,293.56,7.6298
3305001,-78.98,257,6.8681,227.16,0.6489
2716470,-79.1,1285,18.2482,73.11,2.9591
1047080,-80.65,586,93.9079,73.11,0.8391
3164671,-79.21,208,21.2446,73.11,2.7763
2320535,-80.13,296,37.6712,73.11,0.6097
1574890,-80.03,414,90.5297,73.11,0.4777
2141172,-78.65,539,24.3119,64.46,2.6684
1206361,-80.62,177,60.3381,86.73,0.2443
1707168,-79.47,378,37.6652,114.95,1.8402
2551131,-80.06,184,26.4591,238.52,2.4782
5620405,-79.06,216,5.569,443.75,12.9868
10613909,-77.75,71,4.0541,681.48,29.6714
47300196,-54.47,6,0.9772,1160,29.97
51224487,-52.07,6,0.6494,1240,29.9655
7510026,-78.6,51,4.3554,454.32,29.8419
6007302,-78.98,68,5.5762,578.23,17.4425
17431424,-70.69,12,0.6568,1100,29.9579
17076950,-69.63,12,0.817,1100,29.9525
19293515,-66.11,6,0,1040,29.9659
16059132,-69.06,7,0.3125,1100,29.8993
20118757,-67.34,9,0.1621,1160,29.957
38798414,-47.99,6,5.0975,908.64,29.9655
45273342,-35.58,6,0.3125,1240,29.9793
52238113,-36.12,6,0.1562,1330,29.9385
47008380,-35.02,5,0.4688,1330,29.9625
20050515,-59,7,0.4688,1100,29.9558
46395227,-58.31,6,0.3125,1160,29.9401
19472501,-60.28,6,0.6494,1160,29.9648
4739464,-77.53,252,9.7561,381.63,26.8975
1749008,-79.57,166,17.5439,489.27,16.3529
3144252,-78.76,205,9.1765,360.03,13.4118
4094501,-78.04,182,3.0568,298.15,27.0551
7038132,-76.19,61,1.6722,298.15,28.3515
11190578,-77.8,27,0.1631,561.22,29.9607
6068757,-76.89,108,1.7045,1100,29.429
